t,x,y,z,q1,q2,q3,q4
1305031102.811232 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1305031103.311210 -0.0165050 0.0264454 0.1467466 -0.0298279 -0.0197297 0.0121810 0.9992861
1305031106.276385 -0.0020463 0.0046197 0.1589816 -0.0219040 0.0122923 0.0257967 0.9993516
1305031106.475345 -0.0057470 0.0032531 0.1670969 -0.0478238 0.0193852 0.0110984 0.9986060
1305031108.275358 0.1521040 -0.0410557 -0.1886972 0.0492437 0.0678821 -0.0130253 0.9963922
1305031108.975268 0.3301016 -0.0323534 -0.1717938 0.0360613 0.0885818 0.0518284 0.9940657
1305031112.479418 0.2860970 -0.0280848 -0.1513287 0.0397270 0.0890427 0.0117808 0.9951655
1305031112.679952 0.3473149 -0.0244431 -0.1557354 0.0426918 0.0857916 0.0454041 0.9943619
1305031113.343252 0.1668133 -0.0216635 -0.1550218 0.0161283 0.0345807 0.0402520 0.9984607
1305031114.411397 -0.3064168 -0.0152159 -0.1242336 0.0222722 -0.0339415 -0.0667102 0.9969462
1305031114.644136 -0.3625605 -0.0158828 -0.1150886 0.0093665 -0.0603228 -0.0653172 0.9959955
1305031114.843208 -0.3634421 -0.0202878 -0.1179110 0.0077769 -0.0777546 -0.0758191 0.9940549
1305031116.411333 0.2919172 -0.0073369 -0.0664701 -0.0393197 0.1215387 0.1183750 0.9847181
1305031116.643355 0.2395313 -0.0103552 -0.0791042 -0.0360015 0.1149648 0.1038849 0.9872664
1305031116.880165 0.1264875 -0.0006182 -0.0835000 -0.0339244 0.0763964 0.0395678 0.9957144
1305031121.347517 -0.0547019 -0.1458936 -0.0428934 0.0201602 -0.0448003 -0.0036257 0.9987860
1305031123.811608 -0.0510001 0.2854992 -0.1191055 -0.0863736 0.0010959 0.0168393 0.9961199
1305031125.379401 -0.0489882 -0.1840638 -0.0050654 0.0166462 -0.0479604 -0.0164007 0.9985759
1305031125.679328 -0.0657292 -0.2121257 -0.0083374 0.0207424 -0.0179205 -0.0213119 0.9993970
1305031126.847343 -0.0346959 0.1442336 -0.0752285 -0.0551110 -0.0228216 0.0068180 0.9981961
1305031127.179349 -0.0351447 0.1421333 -0.0799543 -0.0526271 -0.0282408 0.0120372 0.9981422
1305031127.547348 -0.0380141 0.1099747 -0.0643141 -0.0447658 -0.0386871 0.0045161 0.9982379
1305031128.411337 -0.0403175 0.0864210 -0.0474050 -0.0452473 -0.0455304 0.0047303 0.9979265
